organization,word_value,proposed_action
Birshingpur,Control Room,insert new row
Tons,Control Room,insert new row
MP Power Management CO. LTD.,Manager (shift incharge),insert new row
Manikheda,Control Room,insert new row
Dhuvaran,Control room CCPP-1,insert new row
Dhuvaran,Control room CCPP-2,insert new row
Dhuvaran,Control room CCPP-3,insert new row
Solapur Solar PV Project,CCR-Control Room,insert new row
Gujarat State Electricity Corporation Limited- Phase II,Control Room,insert new row
DGEN Mega Power Project,Shift-In-charge,insert new row
Jhabua Power Limited,Shiftincharge operation,insert new row
Jindal Power Limited,Shiftincharge operation,insert new row
Arcelormittal Nippon Steel India Limited,Control Room-1,insert new row
Gandhar,Control Room,insert new row
Kakrapar Atomic Power Station Stg-1 & 2,Shift Charge Engineer,insert new row
AMNS (Essar) Power Transmission Company Limited,Shift In Charge,insert new row
