organization,word_value,proposed_action
SSNNL,SSNNL,insert new row
Avikiran Solar India Private Limited,Avikiran Solar India Private Limited,insert new row
Nodal Officers in Western Region,Nodal Officers in Western Region,insert new row
GE T&D (SCADA & EMS),GE T&D (SCADA & EMS),insert new row
REConnect Energy (REMC),REConnect Energy (REMC),insert new row
SIEMENS (REMC),SIEMENS (REMC),insert new row
PWC,PWC,insert new row
AMC (WBES),AMC (WBES),insert new row
"CDAC (FTC, SAMPADA Software)","CDAC (FTC, SAMPADA Software)",insert new row
IT Support Engineers at WRLDC,IT Support Engineers at WRLDC,insert new row
