Station,Category,Issue,Name,Details
ACB (India) Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
ACB (India) Limited,Control Room,Extra,ACB (India) Limited,Database has a control room here; none found in Word directory
Adani Power (Mundra) Limited,Switchyard,Missing,"SWITCH YARD APL PH-3 , 4",Word lists a switchyard here; none found in database
Adani Power (Mundra) Limited,Switchyard,Extra,"Switch Yard APL PH-3, 4",Database has a switchyard here; none found in Word directory
Adani Wind Energy Kutch Five Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Adani Wind Energy Kutch Five Limited,Control Room,Extra,Adani Wind Energy Kutch Five Limited,Database has a control room here; none found in Word directory
Adani Wind Energy Kutch Four Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Adani Wind Energy Kutch Four Limited,Control Room,Extra,Adani Wind Energy Kutch Four Limited,Database has a control room here; none found in Word directory
Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,Control Room,Extra,Adani Wind Energy Kutch One Limited/ AWEKTL/ AWEKFL,Database has a control room here; none found in Word directory
Adani Wind Energy Kutch Three Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Adani Wind Energy Kutch Three Limited,Control Room,Extra,Adani Wind Energy Kutch Three Limited,Database has a control room here; none found in Word directory
Adani Wind Energy MP One Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Adani Wind Energy MP One Private Limited,Control Room,Extra,Adani Wind Energy MP One Private Limited,Database has a control room here; none found in Word directory
Alfanar Energy Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Alfanar Energy Private Limited,Control Room,Extra,Alfanar Energy Private Limited,Database has a control room here; none found in Word directory
Alfanar Netra Wind Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Alfanar Netra Wind Private Limited,Control Room,Extra,Alfanar Netra Wind Private Limited,Database has a control room here; none found in Word directory
Apraava Energy Private Limited (AEPL),Control Room,Missing,Control Room,Word lists a control room here; none found in database
Apraava Energy Private Limited (AEPL),Control Room,Extra,Apraava Energy Private Limited (AEPL),Database has a control room here; none found in Word directory
Arcelormittal Nippon Steel India Limited,Control Room,Missing,Control Room-1,Word lists a control room here; none found in database
Arcelormittal Nippon Steel India Limited,Control Room,Extra,Control Room 1,Database has a control room here; none found in Word directory
Arinsun Clean Energy Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Arinsun Clean Energy Private Limited,Control Room,Extra,Arinsun Clean Energy Private Limited,Database has a control room here; none found in Word directory
Athena Jaipur Solar Power Private Limited,Control Room,Missing,Control Room,Word lists a control room here; none found in database
Athena Jaipur Solar Power Private Limited,Control Room,Extra,Athena Jaipur Solar Power Private Limited,Database has a control room here; none found in Word directory
