table,row_id,field,old_value,new_value,reason,timestamp
directory_numbers,7675,phone_number,Control Room / Control Room / 8408880569 / 02355235005 / 02355235311,Control Room / 8408880569 / 02355235005 / 02355235311,"duplicated_phone fix, origin=introduced_during_import (clean in Word, dirty only in the app -- unambiguous import bug per reports/word_vs_app_cleanliness.csv): exact-repeat segment(s) removed, order preserved, no other segment touched.",2026-08-27
directory_numbers,7846,phone_number,02525-265510/ 265404 / NA / NA,02525-265510 / 265404 / NA,"duplicated_phone fix, origin=introduced_during_import (clean in Word, dirty only in the app -- unambiguous import bug per reports/word_vs_app_cleanliness.csv): exact-repeat segment(s) removed, order preserved, no other segment touched.",2026-08-27
directory_numbers,7654,name,NLDC And RLDCs,NLDC (National Load Despatch Centre),"possible_duplicate_row resolution: all 5 rows under org 6290 shared the generic name 'NLDC And RLDCs', which full_data_quality_audit.py's normalized-name grouping flagged as a possible duplicate. Inspecting phone/email content showed each row is a distinct real regional despatch centre (this one identified by email 'posococc@grid-india.in systemoperationd@rediffmail.com nldccr@grid-india.in'), not a copy-paste duplicate -- renamed to its specific centre instead of merging/deleting, per reports/fix_proposal_duplicate_rows.csv. 0 rows deleted.",2026-08-27
directory_numbers,7655,name,NLDC And RLDCs,NRLDC (Northern Regional Load Despatch Centre),"possible_duplicate_row resolution: all 5 rows under org 6290 shared the generic name 'NLDC And RLDCs', which full_data_quality_audit.py's normalized-name grouping flagged as a possible duplicate. Inspecting phone/email content showed each row is a distinct real regional despatch centre (this one identified by email 'nrldccr@grid-india.in, nrldcso@grid-india.in'), not a copy-paste duplicate -- renamed to its specific centre instead of merging/deleting, per reports/fix_proposal_duplicate_rows.csv. 0 rows deleted.",2026-08-27
directory_numbers,7656,name,NLDC And RLDCs,ERLDC (Eastern Regional Load Despatch Centre),"possible_duplicate_row resolution: all 5 rows under org 6290 shared the generic name 'NLDC And RLDCs', which full_data_quality_audit.py's normalized-name grouping flagged as a possible duplicate. Inspecting phone/email content showed each row is a distinct real regional despatch centre (this one identified by email 'erldc@grid-india.in erldc@vsnl.com erldcinfo@grid-india.in'), not a copy-paste duplicate -- renamed to its specific centre instead of merging/deleting, per reports/fix_proposal_duplicate_rows.csv. 0 rows deleted.",2026-08-27
directory_numbers,7657,name,NLDC And RLDCs,SRLDC (Southern Regional Load Despatch Centre),"possible_duplicate_row resolution: all 5 rows under org 6290 shared the generic name 'NLDC And RLDCs', which full_data_quality_audit.py's normalized-name grouping flagged as a possible duplicate. Inspecting phone/email content showed each row is a distinct real regional despatch centre (this one identified by email 'srldccr@grid-india.in srldccroom@gmail.com croom@srldc.org'), not a copy-paste duplicate -- renamed to its specific centre instead of merging/deleting, per reports/fix_proposal_duplicate_rows.csv. 0 rows deleted.",2026-08-27
directory_numbers,7658,name,NLDC And RLDCs,NERLDC (North Eastern Regional Load Despatch Centre),"possible_duplicate_row resolution: all 5 rows under org 6290 shared the generic name 'NLDC And RLDCs', which full_data_quality_audit.py's normalized-name grouping flagged as a possible duplicate. Inspecting phone/email content showed each row is a distinct real regional despatch centre (this one identified by email 'nerldc@grid-india.in nerldc1@sancharnet.in'), not a copy-paste duplicate -- renamed to its specific centre instead of merging/deleting, per reports/fix_proposal_duplicate_rows.csv. 0 rows deleted.",2026-08-27
directory_numbers,7659,name,2. Gandhi Sagar,Gandhi Sagar,"numbered_prefix strip: leading Word-section-heading number removed from the name field. Confirmed inert before applying -- no export/grouping/display logic in routes/user_routes.py, services/pdf_generator.py, or services/excel_generator.py sorts by or depends on DirectoryNumber.name, and this row is the sole (organization_id, category) record for its station, so there was no sibling row the number could have been ordering against.",2026-08-27
directory_numbers,7660,name,5. Birshingpur,Birshingpur,"numbered_prefix strip: leading Word-section-heading number removed from the name field. Confirmed inert before applying -- no export/grouping/display logic in routes/user_routes.py, services/pdf_generator.py, or services/excel_generator.py sorts by or depends on DirectoryNumber.name, and this row is the sole (organization_id, category) record for its station, so there was no sibling row the number could have been ordering against.",2026-08-27
directory_numbers,7662,name,7. Tons,Tons,"numbered_prefix strip: leading Word-section-heading number removed from the name field. Confirmed inert before applying -- no export/grouping/display logic in routes/user_routes.py, services/pdf_generator.py, or services/excel_generator.py sorts by or depends on DirectoryNumber.name, and this row is the sole (organization_id, category) record for its station, so there was no sibling row the number could have been ordering against.",2026-08-27
