Station,Category,Issue,Name,Details
Adani Power (Mundra) Limited,Control Room,Missing,APL PH-I Control Room,Word lists a control room here; none found in Excel workbook
Adani Power (Mundra) Limited,Control Room,Extra,APL PH I Control Room,Excel workbook has a control room here; none found in Word directory
Adani Power (Mundra) Limited,Control Room,Missing,APL PH-II Control Room,Word lists a control room here; none found in Excel workbook
Adani Power (Mundra) Limited,Control Room,Extra,APL PH II Control Room,Excel workbook has a control room here; none found in Word directory
Adani Power (Mundra) Limited,Control Room,Missing,APL PH-III Control Room,Word lists a control room here; none found in Excel workbook
Adani Power (Mundra) Limited,Control Room,Extra,APL PH III Control Room,Excel workbook has a control room here; none found in Word directory
Adani Power (Mundra) Limited,Control Room,Missing,APL PH-IV Control Room,Word lists a control room here; none found in Excel workbook
Adani Power (Mundra) Limited,Control Room,Extra,APL PH IV Control Room,Excel workbook has a control room here; none found in Word directory
Adani Power (Mundra) Limited,Switchyard,Missing,SWITCH YARD APL PH-1,Word lists a switchyard here; none found in Excel workbook
Adani Power (Mundra) Limited,Switchyard,Extra,Switch Yard APL PH 1,Excel workbook has a switchyard here; none found in Word directory
Adani Power (Mundra) Limited,Switchyard,Missing,SWITCH YARD APL PH-2,Word lists a switchyard here; none found in Excel workbook
Adani Power (Mundra) Limited,Switchyard,Extra,Switch Yard APL PH 2,Excel workbook has a switchyard here; none found in Word directory
Adani Power (Mundra) Limited,Switchyard,Missing,"SWITCH YARD APL PH-3 , 4",Word lists a switchyard here; none found in Excel workbook
Adani Power (Mundra) Limited,Switchyard,Extra,"Switch Yard APL PH 3 , 4",Excel workbook has a switchyard here; none found in Word directory
Arcelormittal Nippon Steel India Limited,Control Room,Missing,Control Room-1,Word lists a control room here; none found in Excel workbook
Arcelormittal Nippon Steel India Limited,Control Room,Extra,Control Room 1,Excel workbook has a control room here; none found in Word directory
Bargi,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
Bargi,Control Room,Extra,4. Bargi,Excel workbook has a control room here; none found in Word directory
DGEN Mega Power Project,Control Room,Missing,Shift-In-charge,Word lists a control room here; none found in Excel workbook
DGEN Mega Power Project,Control Room,Extra,Shift In Charge,Excel workbook has a control room here; none found in Word directory
Dhuvaran,Control Room,Missing,Control room CCPP-1,Word lists a control room here; none found in Excel workbook
Dhuvaran,Control Room,Extra,Control Room CCPP 1,Excel workbook has a control room here; none found in Word directory
Dhuvaran,Control Room,Missing,Control room CCPP-2,Word lists a control room here; none found in Excel workbook
Dhuvaran,Control Room,Extra,Control Room CCPP 2,Excel workbook has a control room here; none found in Word directory
Dhuvaran,Control Room,Missing,Control room CCPP-3,Word lists a control room here; none found in Excel workbook
Dhuvaran,Control Room,Extra,Control Room CCPP 3,Excel workbook has a control room here; none found in Word directory
Maharashtra State Load Despatch Centre,Control Room,Missing,SLDC-Control room,Word lists a control room here; none found in Excel workbook
Maharashtra State Load Despatch Centre,Control Room,Extra,SLDC Control Room,Excel workbook has a control room here; none found in Word directory
NTPC Gadarwara,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Gadarwara,Control Room,Extra,15.1. NTPC Gadarwara,Excel workbook has a control room here; none found in Word directory
NTPC Gandhar,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Gandhar,Control Room,Extra,14.1. NTPC Gandhar,Excel workbook has a control room here; none found in Word directory
NTPC Kawas,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Kawas,Control Room,Extra,14.2. NTPC Kawas,Excel workbook has a control room here; none found in Word directory
NTPC Khargone,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Khargone,Control Room,Extra,15.2. NTPC Khargone,Excel workbook has a control room here; none found in Word directory
NTPC Korba,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Korba,Control Room,Extra,15.3. NTPC Korba,Excel workbook has a control room here; none found in Word directory
NTPC Lara,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Lara,Control Room,Extra,15.4. NTPC Lara,Excel workbook has a control room here; none found in Word directory
NTPC Mauda,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Mauda,Control Room,Extra,14.3. NTPC Mauda,Excel workbook has a control room here; none found in Word directory
NTPC Sipat,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Sipat,Control Room,Extra,15.5. NTPC Sipat,Excel workbook has a control room here; none found in Word directory
NTPC Solapur,Control Room,Missing,Control Room,Word lists a control room here; none found in Excel workbook
NTPC Solapur,Control Room,Extra,14.4. NTPC Solapur,Excel workbook has a control room here; none found in Word directory
Solapur Solar PV Project,Control Room,Missing,CCR-Control Room,Word lists a control room here; none found in Excel workbook
Solapur Solar PV Project,Control Room,Extra,CCR Control Room,Excel workbook has a control room here; none found in Word directory
TP Saurya Limited Unit-1,Control Room,Missing,RUMSL Unit-1 Site Control Room,Word lists a control room here; none found in Excel workbook
TP Saurya Limited Unit-1,Control Room,Extra,RUMSL Unit 1 Site Control Room,Excel workbook has a control room here; none found in Word directory
TP Saurya Limited Unit-2,Control Room,Missing,RUMSL Unit-2 Site Control Room,Word lists a control room here; none found in Excel workbook
TP Saurya Limited Unit-2,Control Room,Extra,RUMSL Unit 2 Site Control Room,Excel workbook has a control room here; none found in Word directory
